swarm_size,inertia,c1,c2,max_iter,fitness,coverage,total_distance,total_energy,completion_time
20,0.7,1.5,1.5,80,1.5409,1.0,2381.38,238.14,264.66
40,0.7,1.5,1.5,80,1.5854,1.0,2450.52,245.05,267.12
60,0.7,1.5,1.5,80,1.5295,1.0,2369.59,236.96,263.14
40,0.4,1.5,1.5,80,1.555,1.0,2378.33,237.83,265.11
40,0.9,1.5,1.5,80,1.5492,1.0,2415.97,241.6,264.05
40,0.7,2.0,1.0,80,1.5641,1.0,2417.3,241.73,263.35
40,0.7,1.0,2.0,80,1.5959,1.0,2458.06,245.81,265.93
40,0.7,1.5,1.5,150,1.5854,1.0,2450.52,245.05,267.12
