generation,best_fitness
1,1.649531914224342
2,1.6040012514682114
3,1.6040012514682114
4,1.6040012514682114
5,1.6040012514682114
6,1.6040012514682114
7,1.5980009483347284
8,1.5974916371336183
9,1.5974916371336183
10,1.5848583562704301
11,1.5814875406395
12,1.5435890043341955
13,1.5435890043341955
14,1.5435890043341955
15,1.5435890043341955
16,1.5435890043341955
17,1.533281758755098
18,1.533281758755098
19,1.533281758755098
20,1.533281758755098
21,1.533281758755098
22,1.533281758755098
23,1.533281758755098
24,1.533281758755098
25,1.533281758755098
26,1.533281758755098
27,1.533281758755098
28,1.533281758755098
29,1.533281758755098
30,1.533281758755098
31,1.533281758755098
32,1.533281758755098
33,1.533281758755098
34,1.533281758755098
35,1.533281758755098
36,1.533281758755098
37,1.533281758755098
38,1.5227068230210614
39,1.5227068230210614
40,1.5227068230210614
41,1.5227068230210614
42,1.5227068230210614
43,1.5227068230210614
44,1.5227068230210614
45,1.5227068230210614
46,1.5227068230210614
47,1.5139286766634157
48,1.5139286766634157
49,1.5139286766634157
50,1.5095778243362301
51,1.5032138249853202
52,1.5032138249853202
53,1.5032138249853202
54,1.5032138249853202
55,1.491406960539922
56,1.491406960539922
57,1.491406960539922
58,1.491406960539922
59,1.464500150801288
60,1.464500150801288
61,1.464500150801288
62,1.464500150801288
63,1.464500150801288
64,1.464500150801288
65,1.464500150801288
66,1.464500150801288
67,1.464500150801288
68,1.464500150801288
69,1.4554259434808312
70,1.4554259434808312
71,1.4554259434808312
72,1.4544715483998802
73,1.4544715483998802
74,1.4478042179403934
75,1.4407067446137145
76,1.4407067446137145
77,1.4407067446137145
78,1.4407067446137145
79,1.4407067446137145
80,1.4407067446137145
81,1.4407067446137145
82,1.4407067446137145
83,1.4407067446137145
84,1.4407067446137145
85,1.4407067446137145
86,1.4407067446137145
87,1.4407067446137145
88,1.4407067446137145
89,1.4407067446137145
90,1.4407067446137145
91,1.4407067446137145
92,1.4407067446137145
93,1.4407067446137145
94,1.4407067446137145
95,1.4407067446137145
96,1.4407067446137145
97,1.4407067446137145
98,1.4407067446137145
99,1.4407067446137145
100,1.4407067446137145
101,1.4407067446137145
102,1.4407067446137145
103,1.4407067446137145
104,1.4407067446137145
105,1.4407067446137145
106,1.4407067446137145
107,1.4407067446137145
108,1.4407067446137145
109,1.4407067446137145
110,1.4335792679545984
111,1.4335792679545984
112,1.4335792679545984
113,1.4335792679545984
114,1.4335792679545984
115,1.4335792679545984
116,1.4335792679545984
117,1.4335792679545984
118,1.4335792679545984
119,1.4335792679545984
120,1.4335792679545984
